script	type	id
access.cpl.txt	ICONGROUP	110
accwiz.exe.txt	ICONGROUP	101
appwiz.cpl.txt	ICONGROUP	1500
appwiz.cpl.txt	ICONGROUP	1504
appwiz.cpl.txt	BITMAP	101
appwiz.cpl.txt	BITMAP	102
appwiz.cpl.txt	BITMAP	103
appwiz.cpl.txt	BITMAP	104
bckgzm.exe.txt	ICONGROUP	IDI_ICON
cabview.dll.txt	ICONGROUP	1
cabview.dll.txt	ICONGROUP	105
calc.exe.txt	ICONGROUP	SC
charmap.exe.txt	ICONGROUP	111
chkrzm.exe.txt	ICONGROUP	IDI_ICON
cleanmgr.exe.txt	ICONGROUP	104
cmd.exe.txt	ICONGROUP	idi_appicon
comctl32.dll.txt	ICONGROUP	20480
comctl32.dll.txt	ICONGROUP	20481
comctl32.dll.txt	ICONGROUP	20482
comctl32.dll.txt	BITMAP	124
comctl32.dll.txt	BITMAP	125
comctl32.dll.txt	BITMAP	130
comctl32.dll.txt	BITMAP	131
comdlg32.dll.txt	ICONGROUP	540
compatui.dll.txt	ICONGROUP	210
console.dll.txt	ICONGROUP	1
credui.dll.txt	BITMAP	1101
cscui.dll.txt	ICONGROUP	1208
dataclen.dll.txt	ICONGROUP	100
desk.cpl.txt	ICONGROUP	40
desk.cpl.txt	ICONGROUP	100
desk.cpl.txt	BITMAP	120
devmgr.dll.txt	ICONGROUP	42
devmgr.dll.txt	BITMAP	358
dfrgres.dll.txt	ICONGROUP	106
dfshim.dll.txt	ICONGROUP	101
explorer.exe.txt	ICONGROUP	100
explorer.exe.txt	ICONGROUP	101
explorer.exe.txt	ICONGROUP	103
explorer.exe.txt	ICONGROUP	107
explorer.exe.txt	ICONGROUP	108
explorer.exe.txt	ICONGROUP	109
explorer.exe.txt	ICONGROUP	110
explorer.exe.txt	ICONGROUP	111
explorer.exe.txt	ICONGROUP	252
explorer.exe.txt	ICONGROUP	253
explorer.exe.txt	ICONGROUP	254
explorer.exe.txt	BITMAP	145
explorer.exe.txt	BITMAP	146
explorer.exe.txt	BITMAP	147
explorer.exe.txt	BITMAP	148
explorer.exe.txt	BITMAP	149
explorer.exe.txt	BITMAP	150
explorer.exe.txt	BITMAP	151
explorer.exe.txt	BITMAP	152
explorer.exe.txt	BITMAP	153
explorer.exe.txt	BITMAP	158
explorer.exe.txt	BITMAP	163
explorer.exe.txt	BITMAP	164
explorer.exe.txt	BITMAP	166
explorer.exe.txt	BITMAP	167
explorer.exe.txt	BITMAP	170
explorer.exe.txt	BITMAP	171
explorer.exe.txt	BITMAP	176
explorer.exe.txt	BITMAP	178
explorer.exe.txt	BITMAP	179
explorer.exe.txt	BITMAP	180
explorer.exe.txt	BITMAP	181
explorer.exe.txt	BITMAP	182
explorer.exe.txt	BITMAP	183
explorer.exe.txt	BITMAP	7010
explorer.exe.txt	BITMAP	7011
fldrclnr.dll.txt	ICONGROUP	100
fontext.dll.txt	ICONGROUP	1
fontext.dll.txt	ICONGROUP	2
fontext.dll.txt	ICONGROUP	3
fontext.dll.txt	ICONGROUP	4
